date,temp
2002-01-01,-14.5
2002-01-02,-25.5
2002-01-03,-23.5
2002-01-04,-3.4
2002-01-05,-5.8
2002-01-06,-8.7
2002-01-07,-8.2
2002-01-08,-16.9
2002-01-09,-14.8
2002-01-10,1.4
2002-01-11,1.3
2002-01-12,1.4
2002-01-13,9.6
2002-01-14,13.4
2002-01-15,18.1
2002-01-16,9.8
2002-01-17,1.6
2002-01-18,-1.1
2002-01-19,3.4
2002-01-20,0
2002-01-21,-3.3
2002-01-22,-11.8
2002-01-23,-11.3
2002-01-24,-11.7
2002-01-25,-10.8
2002-01-26,-3.1
2002-01-27,-3.7
2002-01-28,-9.9
2002-01-29,-7.1
2002-01-30,-4.1
2002-01-31,-9.5
2002-02-01,-2
2002-02-02,2.4
2002-02-03,0.1
2002-02-04,-1
2002-02-05,3
2002-02-06,7.8
2002-02-07,3
2002-02-08,-0.8
2002-02-09,-6.3
2002-02-10,-5.3
2002-02-11,-8.5
2002-02-12,-7.1
2002-02-13,-3.9
2002-02-14,-4.3
2002-02-15,-3.3
2002-02-16,0.8
2002-02-17,2.4
2002-02-18,-5.9
2002-02-19,-4.9
2002-02-20,-0.7
2002-02-21,3.4
2002-02-22,8.1
2002-02-23,4
2002-02-24,6
2002-02-25,6.9
2002-02-26,8
2002-02-27,10.9
2002-02-28,9.7
2002-03-01,7.5
2002-03-02,8.5
2002-03-03,5.4
2002-03-04,3.5
2002-03-05,4.4
2002-03-06,1.1
2002-03-07,0
2002-03-08,2
2002-03-09,14.2
2002-03-10,15.9
2002-03-11,10
2002-03-12,13.4
2002-03-13,14.9
2002-03-14,16.3
2002-03-15,17.3
2002-03-16,14.2
2002-03-17,17.8
2002-03-18,13.9
2002-03-19,15.4
2002-03-20,18.5
2002-03-21,13.6
2002-03-22,12.6
2002-03-23,7.8
2002-03-24,7.6
2002-03-25,11.5
2002-03-26,15.1
2002-03-27,18.7
2002-03-28,19.5
2002-03-29,23.2
2002-03-30,13.2
2002-03-31,18.7
2002-04-01,23.3
2002-04-02,25.2
2002-04-03,25.8
2002-04-04,24.4
2002-04-05,31.3
2002-04-06,22.8
2002-04-07,17
2002-04-08,16.4
2002-04-09,13.2
2002-04-10,14.5
2002-04-11,14.6
2002-04-12,16.7
2002-04-13,21.8
2002-04-14,36.6
2002-04-15,38.7
2002-04-16,28.4
2002-04-17,20.1
2002-04-18,21.6
2002-04-19,20
2002-04-20,22.3
2002-04-21,29.9
2002-04-22,37.6
2002-04-23,34
