date,region,N
2007-01-03,Gyeonggi,1
2007-01-10,Gyeonggi,0
2007-01-17,Gyeonggi,0
2007-01-24,Gyeonggi,1
2007-01-31,Gyeonggi,0
2007-02-07,Gyeonggi,1
2007-02-14,Gyeonggi,1
2007-02-21,Gyeonggi,1
2007-02-28,Gyeonggi,2
2007-03-07,Gyeonggi,2
2007-03-14,Gyeonggi,1
2007-03-21,Gyeonggi,0
2007-03-28,Gyeonggi,0
2007-04-04,Gyeonggi,2
2007-04-11,Gyeonggi,5
2007-04-18,Gyeonggi,2
2007-04-25,Gyeonggi,3
2007-05-02,Gyeonggi,6
2007-05-09,Gyeonggi,10
2007-05-16,Gyeonggi,17
2007-05-23,Gyeonggi,20
2007-05-30,Gyeonggi,15
2007-06-06,Gyeonggi,24
2007-06-13,Gyeonggi,22
2007-06-20,Gyeonggi,28
2007-06-27,Gyeonggi,37
2007-07-04,Gyeonggi,43
2007-07-11,Gyeonggi,60
2007-07-18,Gyeonggi,73
2007-07-25,Gyeonggi,64
2007-08-01,Gyeonggi,76
2007-08-08,Gyeonggi,65
2007-08-15,Gyeonggi,49
2007-08-22,Gyeonggi,57
2007-08-29,Gyeonggi,66
2007-09-05,Gyeonggi,37
2007-09-12,Gyeonggi,39
2007-09-19,Gyeonggi,39
2007-09-26,Gyeonggi,23
2007-10-03,Gyeonggi,26
2007-10-10,Gyeonggi,16
2007-10-17,Gyeonggi,14
2007-10-24,Gyeonggi,16
2007-10-31,Gyeonggi,17
2007-11-07,Gyeonggi,8
2007-11-14,Gyeonggi,3
2007-11-21,Gyeonggi,7
2007-11-28,Gyeonggi,3
2007-12-05,Gyeonggi,1
2007-12-12,Gyeonggi,1
2007-12-19,Gyeonggi,2
2007-12-26,Gyeonggi,1
2008-01-02,Gyeonggi,0
2008-01-09,Gyeonggi,1
2008-01-16,Gyeonggi,3
2008-01-23,Gyeonggi,2
2008-01-30,Gyeonggi,0
2008-02-06,Gyeonggi,2
2008-02-13,Gyeonggi,2
2008-02-20,Gyeonggi,0
2008-02-27,Gyeonggi,2
2008-03-05,Gyeonggi,0
2008-03-12,Gyeonggi,1
2008-03-19,Gyeonggi,0
2008-03-26,Gyeonggi,1
2008-04-02,Gyeonggi,3
2008-04-09,Gyeonggi,0
2008-04-16,Gyeonggi,3
2008-04-23,Gyeonggi,7
2008-04-30,Gyeonggi,9
2008-05-07,Gyeonggi,9
2008-05-14,Gyeonggi,5
2008-05-21,Gyeonggi,8
2008-05-28,Gyeonggi,16
2008-06-04,Gyeonggi,10
2008-06-11,Gyeonggi,12
2008-06-18,Gyeonggi,15
2008-06-25,Gyeonggi,20
2008-07-02,Gyeonggi,25
2008-07-09,Gyeonggi,18
2008-07-16,Gyeonggi,18
2008-07-23,Gyeonggi,29
2008-07-30,Gyeonggi,16
2008-08-06,Gyeonggi,44
2008-08-13,Gyeonggi,15
2008-08-20,Gyeonggi,26
2008-08-27,Gyeonggi,27
2008-09-03,Gyeonggi,17
2008-09-10,Gyeonggi,25
2008-09-17,Gyeonggi,22
2008-09-24,Gyeonggi,14
2008-10-01,Gyeonggi,12
2008-10-08,Gyeonggi,16
2008-10-15,Gyeonggi,18
2008-10-22,Gyeonggi,6
2008-10-29,Gyeonggi,4
2008-11-05,Gyeonggi,2
2008-11-12,Gyeonggi,0
2008-11-19,Gyeonggi,2
2008-11-26,Gyeonggi,1
2008-12-03,Gyeonggi,1
2008-12-10,Gyeonggi,0
2008-12-17,Gyeonggi,0
2008-12-24,Gyeonggi,1
2008-12-31,Gyeonggi,0
2009-01-07,Gyeonggi,0
2009-01-14,Gyeonggi,0
2009-01-21,Gyeonggi,0
2009-01-28,Gyeonggi,0
2009-02-04,Gyeonggi,0
2009-02-11,Gyeonggi,0
2009-02-18,Gyeonggi,1
2009-02-25,Gyeonggi,0
2009-03-04,Gyeonggi,0
2009-03-11,Gyeonggi,1
2009-03-18,Gyeonggi,2
2009-03-25,Gyeonggi,2
2009-04-01,Gyeonggi,1
2009-04-08,Gyeonggi,2
2009-04-15,Gyeonggi,5
2009-04-22,Gyeonggi,9
2009-04-29,Gyeonggi,6
2009-05-06,Gyeonggi,8
2009-05-13,Gyeonggi,9
2009-05-20,Gyeonggi,20
2009-05-27,Gyeonggi,12
2009-06-03,Gyeonggi,15
2009-06-10,Gyeonggi,27
2009-06-17,Gyeonggi,29
2009-06-24,Gyeonggi,22
2009-07-01,Gyeonggi,25
2009-07-08,Gyeonggi,19
2009-07-15,Gyeonggi,25
2009-07-22,Gyeonggi,37
2009-07-29,Gyeonggi,30
2009-08-05,Gyeonggi,32
2009-08-12,Gyeonggi,48
2009-08-19,Gyeonggi,18
2009-08-26,Gyeonggi,22
2009-09-02,Gyeonggi,21
2009-09-09,Gyeonggi,23
2009-09-16,Gyeonggi,20
2009-09-23,Gyeonggi,18
2009-09-30,Gyeonggi,13
2009-10-07,Gyeonggi,35
2009-10-14,Gyeonggi,11
2009-10-21,Gyeonggi,8
2009-10-28,Gyeonggi,1
2009-11-04,Gyeonggi,22
2009-11-11,Gyeonggi,2
2009-11-18,Gyeonggi,4
2009-11-25,Gyeonggi,2
2009-12-02,Gyeonggi,1
2009-12-09,Gyeonggi,2
2009-12-16,Gyeonggi,0
2009-12-23,Gyeonggi,0
2009-12-30,Gyeonggi,1
2010-01-06,Gyeonggi,0
2010-01-13,Gyeonggi,0
2010-01-20,Gyeonggi,1
2010-01-27,Gyeonggi,0
2010-02-03,Gyeonggi,0
2010-02-10,Gyeonggi,1
2010-02-17,Gyeonggi,0
2010-02-24,Gyeonggi,2
2010-03-03,Gyeonggi,1
2010-03-10,Gyeonggi,1
2010-03-17,Gyeonggi,0
2010-03-24,Gyeonggi,0
2010-03-31,Gyeonggi,1
2010-04-07,Gyeonggi,3
2010-04-14,Gyeonggi,3
2010-04-21,Gyeonggi,4
2010-04-28,Gyeonggi,5
2010-05-05,Gyeonggi,15
2010-05-12,Gyeonggi,21
2010-05-19,Gyeonggi,13
2010-05-26,Gyeonggi,26
2010-06-02,Gyeonggi,32
2010-06-09,Gyeonggi,32
2010-06-16,Gyeonggi,42
2010-06-23,Gyeonggi,34
2010-06-30,Gyeonggi,64
2010-07-07,Gyeonggi,45
2010-07-14,Gyeonggi,44
2010-07-21,Gyeonggi,46
2010-07-28,Gyeonggi,52
2010-08-04,Gyeonggi,49
2010-08-11,Gyeonggi,36
2010-08-18,Gyeonggi,40
2010-08-25,Gyeonggi,36
2010-09-01,Gyeonggi,29
2010-09-08,Gyeonggi,25
2010-09-15,Gyeonggi,25
2010-09-22,Gyeonggi,20
2010-09-29,Gyeonggi,17
2010-10-06,Gyeonggi,9
2010-10-13,Gyeonggi,20
2010-10-20,Gyeonggi,6
2010-10-27,Gyeonggi,6
2010-11-03,Gyeonggi,2
2010-11-10,Gyeonggi,3
2010-11-17,Gyeonggi,0
2010-11-24,Gyeonggi,4
2010-12-01,Gyeonggi,1
2010-12-08,Gyeonggi,2
2010-12-15,Gyeonggi,0
2010-12-22,Gyeonggi,0
2010-12-29,Gyeonggi,0
2011-01-05,Gyeonggi,2
2011-01-12,Gyeonggi,1
2011-01-19,Gyeonggi,1
2011-01-26,Gyeonggi,0
2011-02-02,Gyeonggi,1
2011-02-09,Gyeonggi,1
2011-02-16,Gyeonggi,1
2011-02-23,Gyeonggi,1
2011-03-02,Gyeonggi,1
2011-03-09,Gyeonggi,0
2011-03-16,Gyeonggi,0
2011-03-23,Gyeonggi,1
2011-03-30,Gyeonggi,3
2011-04-06,Gyeonggi,1
2011-04-13,Gyeonggi,2
2011-04-20,Gyeonggi,2
2011-04-27,Gyeonggi,4
2011-05-04,Gyeonggi,5
2011-05-11,Gyeonggi,9
2011-05-18,Gyeonggi,6
2011-05-25,Gyeonggi,17
2011-06-01,Gyeonggi,10
2011-06-08,Gyeonggi,10
2011-06-15,Gyeonggi,24
2011-06-22,Gyeonggi,23
2011-06-29,Gyeonggi,20
2011-07-06,Gyeonggi,37
2011-07-13,Gyeonggi,19
2011-07-20,Gyeonggi,15
2011-07-27,Gyeonggi,24
2011-08-03,Gyeonggi,24
2011-08-10,Gyeonggi,16
2011-08-17,Gyeonggi,19
2011-08-24,Gyeonggi,13
2011-08-31,Gyeonggi,7
2011-09-07,Gyeonggi,11
2011-09-14,Gyeonggi,8
2011-09-21,Gyeonggi,9
2011-09-28,Gyeonggi,10
2011-10-05,Gyeonggi,5
2011-10-12,Gyeonggi,6
2011-10-19,Gyeonggi,3
2011-10-26,Gyeonggi,3
2011-11-02,Gyeonggi,1
2011-11-09,Gyeonggi,2
2011-11-16,Gyeonggi,0
2011-11-23,Gyeonggi,0
2011-11-30,Gyeonggi,1
2011-12-07,Gyeonggi,0
2011-12-14,Gyeonggi,0
2011-12-21,Gyeonggi,1
2011-12-28,Gyeonggi,2
2012-01-04,Gyeonggi,0
2012-01-11,Gyeonggi,0
2012-01-18,Gyeonggi,0
2012-01-25,Gyeonggi,0
2012-02-01,Gyeonggi,0
2012-02-08,Gyeonggi,0
2012-02-15,Gyeonggi,0
2012-02-22,Gyeonggi,0
2012-02-29,Gyeonggi,0
2012-03-07,Gyeonggi,1
2012-03-14,Gyeonggi,1
2012-03-21,Gyeonggi,0
2012-03-28,Gyeonggi,0
2012-04-04,Gyeonggi,3
2012-04-11,Gyeonggi,0
2012-04-18,Gyeonggi,0
2012-04-25,Gyeonggi,2
2012-05-02,Gyeonggi,3
2012-05-09,Gyeonggi,2
2012-05-16,Gyeonggi,7
2012-05-23,Gyeonggi,10
2012-05-30,Gyeonggi,4
2012-06-06,Gyeonggi,14
2012-06-13,Gyeonggi,14
2012-06-20,Gyeonggi,7
2012-06-27,Gyeonggi,8
2012-07-04,Gyeonggi,13
2012-07-11,Gyeonggi,14
2012-07-18,Gyeonggi,19
2012-07-25,Gyeonggi,12
2012-08-01,Gyeonggi,19
2012-08-08,Gyeonggi,12
2012-08-15,Gyeonggi,9
2012-08-22,Gyeonggi,11
2012-08-29,Gyeonggi,5
2012-09-05,Gyeonggi,14
2012-09-12,Gyeonggi,15
2012-09-19,Gyeonggi,7
2012-09-26,Gyeonggi,7
2012-10-03,Gyeonggi,3
2012-10-10,Gyeonggi,5
2012-10-17,Gyeonggi,2
